Countries,Indicators,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,315.857,367.928,465.2057,448.3598,483.2617,586.5958,588.1737,669.6526,719.0711,675.6198
Algeria,External Health Expenditure (EXT) per Capita in PPP Int$,,0.3002,0.1876,0.2076,0.1819,0.0837,0.2574,0.1035,0.2961,0.2669,0.2347
Algeria,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,127.1283,133.6225,180.0982,186.3749,190.7285,206.8416,228.1715,247.9129,287.8801,308.2625
Algeria,Gross Domestic Product ,in current PPP per capita,"11,843.72","12,162.26","12,242.18","12,610.25","12,990.37","13,404.41","13,715.73","14,203.90","14,614.95","15,013.27"
Algeria,General government expenditure ,in current PPP per capita,"3,936.43","4,615.54","5,215.11","4,697.40","5,212.15","5,836.71","4,963.11","5,767.57","6,699.57","6,294.05"
Angola,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,95.3477,129.1746,138.4979,98.2512,108.737,106.0316,118.75,99.912,92.7209,82.0179
Angola,External Health Expenditure (EXT) per Capita in PPP Int$,,4.4429,4.9956,7.833,5.135,4.8044,3.5348,4.9123,5.8489,5.2274,6.7668
Angola,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,46.7467,43.4632,31.7395,30.5966,30.2143,28.6293,40.8711,49.5861,65.6241,65.4254
Angola,Gross Domestic Product ,in current PPP per capita,"5,128.36","5,743.11","5,718.69","5,779.73","5,911.25","6,034.01","6,400.70","6,592.25","6,634.87","6,456.97"
Angola,General government expenditure ,in current PPP per capita,"2,111.20","3,181.35","2,397.03","2,312.03","2,373.87","2,523.65","2,595.40","2,763.30","2,032.18","1,509.71"
Benin,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,13.8554,13.6075,18.1094,17.6427,19.8077,19.2884,20.9214,16.5754,17.0094,17.1439
Benin,External Health Expenditure (EXT) per Capita in PPP Int$,,16.787,16.8959,15.0297,18.741,19.8435,31.9616,19.8942,21.9728,28.9181,25.4335
Benin,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,32.968,30.8549,31.5014,32.8422,33.5759,32.9922,33.0948,33.8236,34.2079,36.2982
Benin,Gross Domestic Product ,in current PPP per capita,"1,701.03","1,768.75","1,773.05","1,781.88","1,820.89","1,890.07","2,002.10","2,108.07","2,116.11","2,165.06"
Benin,General government expenditure ,in current PPP per capita,367.5624,351.7173,411.8651,342.801,366.5118,367.7253,407.5231,409.8147,527.399,460.2697
Botswana,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,414.0534,517.4619,542.6076,459.3125,541.3797,523.1096,461.0253,482.2187,537.9995,520.8999
Botswana,External Health Expenditure (EXT) per Capita in PPP Int$,,101.4391,95.7992,65.9295,84.417,72.5268,128.9977,82.5133,95.1649,81.5815,62.2557
Botswana,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,29.1799,32.9269,38.6333,40.3621,39.5912,46.5359,47.1818,47.4607,51.3666,48.8795
Botswana,Gross Domestic Product ,in current PPP per capita,"12,413.35","13,226.62","12,098.73","13,030.56","13,596.19","14,244.19","16,111.07","16,765.12","16,368.53","17,046.87"
Botswana,General government expenditure ,in current PPP per capita,"4,588.57","6,222.02","6,503.76","5,777.74","5,007.98","5,281.25","5,371.73","5,811.50","6,097.43","5,693.05"
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,20.3178,20.4959,24.8832,20.4893,22.5871,18.5559,29.3267,30.5074,28.0987,46.3545
Burkina Faso,External Health Expenditure (EXT) per Capita in PPP Int$,,31.974,25.6664,23.8596,34.0432,25.6662,28.0607,31.604,25.048,29.2316,27.11
Burkina Faso,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,20.3401,21.666,24.2149,24.7934,25.3252,25.9817,33.9361,31.9545,35.6789,36.2924
Burkina Faso,Gross Domestic Product ,in current PPP per capita,"1,261.42","1,338.86","1,347.58","1,394.58","1,472.72","1,549.48","1,617.33","1,667.00","1,699.93","1,712.01"
Burkina Faso,General government expenditure ,in current PPP per capita,324.0126,279.94,326.1487,339.6571,338.583,395.1375,459.4555,392.4457,392.8436,420.1021
Burundi,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,17.6139,11.4597,15.3171,14.8962,23.1268,19.9803,11.3876,20.6228,19.5197,14.6378
Burundi,External Health Expenditure (EXT) per Capita in PPP Int$,,19.3194,19.7086,28.3664,36.3892,21.9801,19.1791,28.1001,9.316,5.1576,21.1244
Burundi,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,26.6168,24.2276,24.5777,23.8602,18.7851,14.483,13.303,16.5425,15.8378,15.3344
Burundi,Gross Domestic Product ,in current PPP per capita,704.5028,729.554,750.8034,750.3268,732.263,748.4678,774.8663,802.4751,780.9061,811.6566
Burundi,General government expenditure ,in current PPP per capita,274.5112,300.304,285.2145,306.4639,308.9167,281.0055,256.9588,255.0068,212.2288,171.7768
Cameroon,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,16.6541,16.1899,20.7572,23.3152,33.2213,20.3237,20.6019,17.914,23.801,22.5747
Cameroon,External Health Expenditure (EXT) per Capita in PPP Int$,,3.8832,3.9577,4.3229,6.9908,14.5004,9.9336,8.8778,14.084,13.0013,15.7989
Cameroon,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,87.3649,97.5052,90.7986,92.7508,51.9137,98.1997,103.1585,108.2164,114.7964,117.6602
Cameroon,Gross Domestic Product ,in current PPP per capita,"2,739.67","2,812.65","2,817.99","2,870.56","2,969.05","3,076.86","3,208.27","3,367.21","3,502.41","3,609.38"
Cameroon,General government expenditure ,in current PPP per capita,390.6272,471.1331,442.9935,458.2243,552.5151,546.8323,642.3567,699.8117,732.019,764.0518
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,158.0291,140.0366,156.0739,161.6612,171.6656,187.4842,188.6058,190.0658,201.3426,197.4543
Cabo Verde Republic of,External Health Expenditure (EXT) per Capita in PPP Int$,,11.5533,12.6234,6.8931,15.4425,12.1713,40.6884,49.8667,50.1125,51.3791,54.0797
Cabo Verde Republic of,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,50.9562,50.0287,52.8599,71.7692,66.794,76.9008,79.1737,85.4971,81.5489,90.436
Cabo Verde Republic of,Gross Domestic Product ,in current PPP per capita,"5,308.15","5,710.15","5,620.54","5,710.36","5,991.78","6,097.21","6,171.85","6,245.02","6,390.03","6,638.22"
Cabo Verde Republic of,General government expenditure ,in current PPP per capita,"1,566.06","1,727.36","1,878.27","2,236.15","1,994.30","2,114.89","2,088.76","1,903.88","2,009.51","1,996.53"
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,15.0452,11.159,6.6042,9.7344,7.7789,9.682,4.1565,5.7928,4.2903,4.4448
Central African Republic,External Health Expenditure (EXT) per Capita in PPP Int$,,8.484,7.7108,14.9589,7.2394,10.8304,10.8388,10.8682,11.9231,24.8365,12.2455
Central African Republic,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,14.9251,14.2806,14.5951,15.1183,15.4897,16.0596,14.6023,12.6791,12.6171,12.8841
Central African Republic,Gross Domestic Product ,in current PPP per capita,813.5372,833.2537,842.5241,870.0445,904.6105,957.1773,618.5147,633.9459,667.0427,698.3683
Central African Republic,General government expenditure ,in current PPP per capita,108.2564,136.7568,140.1408,161.8453,142.0269,156.6471,92.2893,80.7594,99.6942,87.817
Chad,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,16.8436,13.3095,15.7537,16.1039,15.6259,13.392,39.1032,27.3476,23.412,17.917
Chad,External Health Expenditure (EXT) per Capita in PPP Int$,,4.5113,3.9916,6.1556,4.566,9.0707,8.3568,6.7564,15.7232,15.0295,13.8471
Chad,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,46.4535,46.782,49.1551,51.879,44.3404,45.942,49.6819,52.3092,56.2489,58.0705
Chad,Gross Domestic Product ,in current PPP per capita,"1,647.59","1,674.60","1,702.25","1,890.57","1,865.87","2,004.80","2,083.55","2,196.89","2,191.93","2,092.39"
Chad,General government expenditure ,in current PPP per capita,281.0937,314.7389,410.8993,460.4393,417.362,478.7219,475.1534,482.8295,402.0212,303.7736
