"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT"
"Afghanistan","L",27.4060612595671,38.7396870576497,6.37333333333333,0.0255675410935915,683.65492383321,488.812044853338,175.83036154172,0.0998102921592319,39.1971385987671,25.1,8.1,6.80797871404943,1.98366669813792,35.4613633715713,50.9384571830417,2.87366668383281,2.23041333333333,27.7,3.20813,53.524585,-1.54493,-1.42110366666667,-2.49992433333333,-1.42218833333333,-1.79507766666667,22.5,0.246633333333333,37.6,0.1,15.8466666666667,67,0.433333333333333,51.6740063027346,23.9483333333333,652860,27340917.8613108,41.8786843447459,66.0866902219283,33.8563992816908
"Albania","UM",6.88822529143834,5.83486485450415,1.88,0.111352297047557,10571.8240071649,17917.0086804123,3135.17972211882,0.0970252480967128,262.923559095895,22.9,0.2,3.03154763429183,13.6476669311523,96.1776345240066,87.8106849481889,13.7053333918253,6.25623,15.9333333333333,6.33359333333333,1.64287666666667,-0.644862333333333,-0.252920733333333,-0.2058313,0.2205274,-0.4610212,6.66666666666667,1.24206666666667,98.6,0.2,0,99,2.83333333333333,100,53.2466666666667,28750,2868210.71373682,99.7638509125849,20.0324264314432,41.1413533060488
"Algeria","UM",9.85233783487253,6.70446674068888,3.03,0.0538041753376545,4977.2677958601,0,1827.22034600461,0.117343916657738,66.2894420451553,22.9,0.2,5.77557479033872,10.2966667811076,86.7676063410877,92.6147595659208,17.8003336588542,7.009185,15.7666666666667,6.882645,4.698235,-0.5242174,-0.525492066666667,-1.31499066666667,-1.212492,-0.788298133333333,5.6,1.207,96.6,0.1,0.00666666666666667,95,0.9,98.8689767876397,68.2303333333333,2381740,36849467.0390853,15.4716581319058,2.59804779161834,28.1854812786575
"Angola","LM",23.4983405354073,43.1737495946939,5.92333333333333,0.0212722938651287,637.028603501591,864.440351425999,257.250343833713,0.0429600630543881,2.86245074396851,39.8,14.9,12.7433431123308,7.93666664759318,42.3263103732106,51.1734063175955,8.33533318837484,1.326685,36.9666666666667,1.68986,23.1829,-1.312868,-1.0870279,-0.328247533333333,-1.03449436666667,-1.26673866666667,37.9,0.1,28.1,1.76666666666667,127.763333333333,50,0.1,34.6456380208333,60.5263333333333,1246700,22672729.3086013,18.1861950016855,17.4705725523135,-12.2458690361332
"Argentina","UM",6.4631564299079,4.68734737808789,2.28333333333333,0.102894248528082,1776.41904227611,2149.92760042076,655.746926252653,0.165792778399878,24.0853674044612,30.9,0.5,40.0613941260647,7.3700000445048,93.1820089005214,98.6651225714129,8.84966659545899,6.51753333333333,37.7666666666667,6.22988,1.55388333333333,-0.390255666666667,-0.1738071,0.0590787666666667,-0.804598566666667,-0.610361266666667,3.86666666666667,3.21,96.77,0.4,0.0233333333333333,92,4.56666666666667,99.2068584187826,90.9866666666667,2780400,41561547.1620238,14.948046022883,-65.1753607711417,-35.4468214894951
"Armenia","LM",5.51921102836794,4.25789202965918,1.59,0.104136256548388,8131.89960993717,16492.143050514,1825.12488421037,0.0698544702149189,218.518798441612,24.5,0.3,6.12812984697051,18.2536665598551,91.3758108629079,98.5961286966847,19.7139994303385,6.955265,9.43333333333333,6.96817,3.87029,-0.6469922,-0.1183579,0.0542604333333333,0.310675333333333,-0.449173233333333,5.36666666666667,2.86986666666667,99.8333333333333,0.2,2.77,94.6666666666667,3.8,99.815342203776,63.34,29740,3091215.93191987,103.941356150635,45.0002900110148,40.2166076123014
"Australia","H",2.29789933465797,1.63361882464956,1.98333333333333,0.139810308712799,49173.2001606532,108631.578041648,17905.1680088604,0.165758582364742,756.81461942141,26.4,0.3,2.66165677966438,5.17199993133545,99.9911523822512,99.9053403116057,5.33666674296061,6.80817333333333,24.7,6.29091333333333,0.54563,2.020622,1.695382,0.940855733333333,1.781164,1.758164,2.5,3.314,99.1,0.1,2.34,92,3.85,100,85.2946666666667,7741220,21931808.8816836,2.833120474768,134.502775475366,-25.7306547797261
"Austria","H",2.12226942022631,1.36327240425111,1.43666666666667,0.1781652832661,44915.918210706,114696.951253997,22575.1351957237,0.143714182681021,752.650980363778,23.5333333333333,0.366666666666667,2.5285972608642,4.74966669082642,99.984085456468,100,4.66633335749308,7.61227333333333,27.9,7.75008,2.67006333333333,1.46902966666667,1.67846566666667,1.22891233333333,1.45321266666667,1.82001133333333,2.5,4.80563333333333,98.5333333333333,0.1,3.73666666666667,89,7.7,100,57.2203333333333,83879.00390625,8403327.47156565,100.183920650249,14.0761588843371,47.6139487927463
"Azerbaijan","UM",19.9678185888369,15.1462703407524,2.08333333333333,0.0545570201989033,8476.24576690521,11444.1676844117,3072.77823574271,0.0327465381506581,274.31423119811,22.9,0.0333333333333333,4.8842914036565,5.41333341598511,84.78859886438,87.2936077215523,6.4900000890096,5.20022,16,2.75718,12.36,-1.18318466666667,-0.784907633333333,-0.495478233333333,-0.399977733333333,-0.8737566,2.5,3.53016666666667,98.8,0.1,0.09,85.6666666666667,4.76666666666667,99.9551284790039,53.642,86600,9436107.34096785,108.961978533116,47.5539095580061,40.2206905476617
"Bangladesh","LM",24.6244879379595,14.5625321735761,2.30333333333333,0.0487308040428215,1822.58869374565,1444.64329886316,221.06191829038,0.0526001075049314,24.1442439607904,26.9,3.6,8.57978192254397,3.71499991416931,40.5341512266042,96.5384331431709,5.44333330790202,3.81218,19.3333333333333,3.57927,28.06268,-0.998092766666667,-0.7650043,-1.403205,-0.870004866666667,-0.821556366666667,16.9,0.370966666666667,29.1,0.1,5.08333333333333,94.6666666666667,0.6,58.579405263265,31.2266666666667,148460,147299409.014093,992.182466752616,90.267928277196,23.8394617953441
"Belarus","UM",3.52522260032787,3.12097605370822,1.57666666666667,0.135918657040855,14601.8018000821,19230.2216481524,5879.20172043939,0.0876352891995354,220.434745914824,22.2,0,40.0613941260647,6.05799992879232,95.9876347114234,97.2711719401026,4.57433334986369,7.23078,30.0666666666667,7.31301,2.22218333333333,-0.6303488,-1.0312003,-0.0380479666666667,-1.12606466666667,-1.03798963333333,2.5,3.73136666666667,99.9,0.266666666666667,7.63,98,11.3666666666667,100,75.1856666666667,207600,9624634.15128404,46.3614361815224,27.981352615448,53.5063447948111
"Belgium","H",1.97042624497924,1.71392181439675,1.82,0.172634991232991,41864.7124047992,106493.105693422,22559.5071434055,0.153373697695131,666.192327086017,22.3,0.1,2.85368158197033,7.65799983342489,99.4860688739872,99.9999975997977,7.70166651407878,9.62343,38.4333333333333,9.08758333333333,1.64287666666667,1.57021266666667,1.611286,0.896260433333333,1.251743,1.41289433333333,2.5,2.92346666666667,96.84,0.333333333333333,0.0266666666666667,98.3333333333333,6.4,100,97.6976666666667,30530,10942152.2086488,358.406557767729,4.58083411385493,50.652440959023
"Belize","UM",11.1408514033099,8.14164401056539,2.51333333333333,0.0417944272939293,6715.70337805923,15417.5635262618,1995.90685386335,0.126448454183522,80.7250489386262,31.2,0.5,8.85358500435182,12.8956670761108,85.9425996221551,94.5878795561457,19.9819997151693,4.74603666666667,1.03333333333333,4.62374,12.00838,-0.1913455,-0.378582633333333,0.134198066666667,-0.465812066666667,-0.427445,5.93333333333333,0.9887,94.7,1.9,0.38,96.3333333333333,1.13333333333333,90.9804278878453,45.234,22970,339508.794253691,14.7805308773918,-88.7034212529932,17.1970899114515
