"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT","PRED_NEO","IC_05_NEO","IC_95_NEO","PRED_NEO_U5","IC_05_NEO_U5","IC_95_NEO_U5","IMPACT_NEO","IMPACT_NEO_U5","HEALTH","NON_HEALTH","EFI","TARG_HEALTH","TARG_NON_HEALTH","TARG_IMPACT_NEO","TARG_IMPACT_NEO_U5","TARG_PROP"
"Afghanistan","L",27.4060612595671,38.7396870576497,6.37333333333333,0.0255675410935915,683.65492383321,488.812044853338,175.83036154172,0.0998102921592319,39.1971385987671,25.1,8.1,6.80797871404943,1.98366669813792,35.4613633715713,50.9384571830417,2.87366668383281,2.23041333333333,27.7,3.20813,53.524585,-1.54493,-1.42110366666667,-2.49992433333333,-1.42218833333333,-1.79507766666667,22.5,0.246633333333333,37.6,0.1,15.8466666666667,67,0.433333333333333,51.6740063027346,23.9483333333333,652860,27340917.8613108,41.8786843447459,66.0866902219283,33.8563992816908,-0.0000774324200439014,-0.0000775763012761891,-0.0000772885388116138,-0.0000675079888655762,-0.0000676216824572354,-0.000067394295273917,0.0000774324200439014,0.0000675079888655762,17.5496797559424,158.280681785778,0.34835,10.748505628478,158.28068178601,0.000124190695071467,0.000279317103818215,0.063589642669942
"Angola","LM",23.4983405354073,43.1737495946939,5.92333333333333,0.0212722938651287,637.028603501591,864.440351425999,257.250343833713,0.0429600630543881,2.86245074396851,39.8,14.9,12.7433431123308,7.93666664759318,42.3263103732106,51.1734063175955,8.33533318837484,1.326685,36.9666666666667,1.68986,23.1829,-1.312868,-1.0870279,-0.328247533333333,-1.03449436666667,-1.26673866666667,37.9,0.1,28.1,1.76666666666667,127.763333333333,50,0.1,34.6456380208333,60.5263333333333,1246700,22672729.3086013,18.1861950016855,17.4705725523135,-12.2458690361332,-0.0000978166781711193,-0.0000979861926989318,-0.0000976471636433068,-0.0000611290188570657,-0.0000615749034467885,-0.0000606831342673429,0.0000978166781711193,0.0000611290188570657,11.0514909918593,246.198852841854,0.34244,11.0514909918566,162.318425545845,0.000124151979995292,0.000279438056759552,0.0637451480196869
"Armenia","LM",5.51921102836794,4.25789202965918,1.59,0.104136256548388,8131.89960993717,16492.143050514,1825.12488421037,0.0698544702149189,218.518798441612,24.5,0.3,6.12812984697051,18.2536665598551,91.3758108629079,98.5961286966847,19.7139994303385,6.955265,9.43333333333333,6.96817,3.87029,-0.6469922,-0.1183579,0.0542604333333333,0.310675333333333,-0.449173233333333,5.36666666666667,2.86986666666667,99.8333333333333,0.2,2.77,94.6666666666667,3.8,99.815342203776,63.34,29740,3091215.93191987,103.941356150635,45.0002900110148,40.2166076123014,-0.0000526522285157274,-0.0000527744345840961,-0.0000525300224473587,-0.0000634354895553647,-0.0000635480267721626,-0.0000633229523385669,0.0000526522285157274,0.0000634354895553647,127.493131862581,1697.63175234779,0.28251,127.493131862597,1135.69475573474,0.000122856765821982,0.000301067335302119,0.100929666215449
"Bangladesh","LM",24.6244879379595,14.5625321735761,2.30333333333333,0.0487308040428215,1822.58869374565,1444.64329886316,221.06191829038,0.0526001075049314,24.1442439607904,26.9,3.6,8.57978192254397,3.71499991416931,40.5341512266042,96.5384331431709,5.44333330790202,3.81218,19.3333333333333,3.57927,28.06268,-0.998092766666667,-0.7650043,-1.403205,-0.870004866666667,-0.821556366666667,16.9,0.370966666666667,29.1,0.1,5.08333333333333,94.6666666666667,0.6,58.579405263265,31.2266666666667,148460,147299409.014093,992.182466752616,90.267928277196,23.8394617953441,-0.0000570521171544796,-0.0000571766638953637,-0.0000569275704135955,-0.0000407424324887699,-0.0000409263512286245,-0.0000405585137489152,0.0000570521171544796,0.0000407424324887699,11.6278806673203,209.43403762306,0.22126,11.6278806673317,169.999700276183,0.00012407832967123,0.000279668153770885,0.0640204566229834
"Benin","L",29.4030876374117,52.9512483609764,5.26666666666667,0.0278099614930105,1704.35305368989,0,329.149282250491,0.0971089078732767,26.6889478608119,34.5,19,3.92422740569713,2.14033325513204,13.9450030093128,64.9787903179167,2.3260000149409,2.63453,9.2,3.43893,19.0661166666667,-0.703626166666667,-0.5519575,0.314661366666667,-0.352807266666667,-0.6407144,11.3,0.1118,80.9,1.1,371.756666666667,77,0.5,36.5,43.6086666666667,114760,9641991.28884,84.0187459815267,2.33737755349616,9.6474307806637,-0.0000532009434301301,-0.0000532644904366054,-0.0000531373964236548,-0.0000315717050657135,-0.000031675020619245,-0.000031468389512182,0.0000532009434301301,0.0000315717050657135,31.9633273266181,297.185954923873,0.17718,21.1717189773853,297.185954924174,0.000122858830408547,0.000283478091327667,0.0665029327483147
"Bhutan","LM",15.4506906658756,9.45433444804092,2.35666666666667,0.0452650403395882,3373.89494714712,4247.65408587147,988.120486666668,0.0865302809552081,16.5413587079774,30.7,0.4,8.93500860162706,2.86666663487752,63.0186841218235,93.5390863938951,3.73399988810221,4.09112333333333,8.5,3.99626333333333,19.9572333333333,0.8969911,0.5766304,0.7816755,-1.13689333333333,0.197925766666667,19.5666666666667,0.1403,69.7,0.3,0.7,94.3333333333333,1.75,82.7306358189764,35.583,38393.9990234375,821999.278428753,21.4095769999621,90.4724248062037,27.427968649102,-0.000051295271102326,-0.0000514004593698172,-0.0000511900828348348,-0.000100554404400837,-0.000100715943392094,-0.000100392865409579,0.000051295271102326,0.000100554404400837,85.5023433288637,902.618143337804,0.3756,85.5023433289387,647.926767918494,0.000126535501608802,0.000287390880015734,0.116578878609706
"Bolivia","LM",12.6860007825684,14.0130496691516,3.46,0.0539893683908361,1315.93675690142,0,501.807114044528,0.0908239878398951,17.2223562284099,33.7,3.55,5.63444772355832,2.28133336702983,49.591557672778,88.6583772183039,2.83800005912781,4.95638,25.4,4.98204,5.017735,-0.588126966666667,-0.447826433333333,-0.4302006,-0.794018566666667,-1.00629093333333,24.5666666666667,0.4588,84.42,0.366666666666667,3.02333333333333,93,1.1,87.6727110211589,66.873,1098580,10313350.7432999,9.38789231853839,-64.6414056060311,-16.7289870153058,-0.0000885570403766783,-0.0000887060746728488,-0.0000884080060805078,-0.0000459934430348284,-0.0000460928018193448,-0.000045894084250312,0.0000885570403766783,0.0000459934430348284,45.5761232239531,456.230990820575,0.26188,33.1061855658778,456.230990820576,0.000121333859769639,0.000288242377037271,0.0676551612333092
"Burkina Faso","L",26.7761702602711,77.2185521538239,5.69666666666667,0.029637923174686,1220.95368096765,1896.9888528789,305.933746083885,0.13708851196447,18.2193661714977,33.9,34,1.93789630546415,5.3370000521342,17.3863069841712,50.3708093085526,7.14966678619385,1.53942333333333,15.4333333333333,1.75946333333333,52.15047,-0.399119233333333,-0.583960466666667,-0.4153826,-0.151598766666667,-0.330078933333333,20.7333333333333,0.0439333333333333,65.9,1.13333333333333,575.8,90.6666666666667,0.4,15.0744366963705,25.1986666666667,274220,17428055.5465874,63.5550125686945,-1.77653745205594,12.3116504941367,-0.0000396868251335674,-0.0000397607065871141,-0.0000396129436800207,-0.0000761608500012553,-0.0000764626751557968,-0.0000758590248467138,0.0000396868251335674,0.0000761608500012553,41.9400020103558,263.993744073529,0.2921,32.9562704582506,263.993744073828,0.000125820832074554,0.000280007482966169,0.110982552097806
"Burundi","L",25.6935139429662,50.9546299311345,5.49333333333333,0.0211212391903062,273.007327134944,0,89.492424275491,0.13553860087212,6.6574135211917,26.4,38.6,11.4154924270273,1.75933333237966,45.9263714775178,57.1287383963021,1.30666665236155,1.61068333333333,31.0333333333333,1.97775,29.41977,-1.26851033333333,-1.16142566666667,-1.71263233333333,-1.02429856666667,-1.13920866666667,37.9,0.0477,69.35,1.5,171.886666666667,96,1.9,5.91286001205444,10.917,27830,9231973.06241195,331.727382767228,29.9138922954257,-3.37739107535547,-0.0000895713443627412,-0.0000896985958001303,-0.0000894440929253521,-0.0000398801739112728,-0.0000399612407432622,-0.0000397991070792833,0.0000895713443627412,0.0000398801739112728,12.1296779749542,77.3627463005368,0.23986,4.67656259663191,77.3627463005637,0.00012496656006519,0.000276893160426907,0.0570039248196515
"Cambodia","LM",16.4769643412761,15.55965828226,3.02,0.0423298990506985,1993.01676934948,2395.54601254603,372.225252407708,0.132225474132971,62.9961917579601,29.8,4.3,4.13584733395406,1.32466665903727,40.8770325059258,69.1180588962602,1.18566672007243,4.09112333333333,20.5666666666667,3.57927,23.8841533333333,-1.183958,-0.8738566,-0.302993766666667,-0.466790666666667,-1.04774076666667,18.7,0.207233333333333,72.2333333333333,0.766666666666667,32.6266666666667,90.3333333333333,0.77,36.9475382486979,20.6646666666667,181040,14777988.7391699,81.6283072203375,104.876085325252,12.6847286293935,-0.0000660362979759434,-0.0000661562677949838,-0.0000659163281569029,-0.0000967600572272769,-0.0000968015866038451,-0.0000967185278507088,0.0000660362979759434,0.0000967600572272769,49.217660483874,323.007591923834,0.41558,41.0330592649382,323.007591923838,0.000125930683003069,0.00028114237536416,0.1127155968185
