"LOCATION","RATE_NEO_2015","RATE_U5_2015","RATE_NEO_U5_2015","RATE_NEO_2016","RATE_U5_2016","RATE_NEO_U5_2016","DELTA_RATE_NEO","DELTA_RATE_U5","DELTA_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","OOP_PPP_LAGGED1","PROP_PUBLIC_HEALTH_EXP_LAGGED2","PUBLIC_EXP_LAGGED2","TAX_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","INCOME_CLASS","LONG","LAT"
"Afghanistan",28.9256149475992,71.3325928689027,42.4069779213035,27.9407801211379,69.0098686206101,41.0690884994723,-0.984834826461334,-2.32272424829257,-1.33788942183125,6.205,0.0238912478344052,698.035929469668,46.4357531907878,0.0924447575261192,133.447440622927,64.7872871372047,NA,NA,6.02988390967098,1.73000001907348,38.7153820347997,57.5054387031469,2.78299999237061,2.366645,27.7,3.33524,NA,-1.3957725,-1.358163,-2.4652085,-1.1556595,-1.521481,25.95,0.29665,45.2,0.1,10.005,63,0.5,78.3797760009765,24.48,652860,"L",66.0866902219283,33.8563992816908
"Angola",24.7663966949484,72.5554338072101,47.7890371122616,23.9593015460011,68.6003119817138,44.6410104357127,-0.807095148947337,-3.95512182549629,-3.14802667654895,5.56,0.0208817955172893,623.740992202259,4.34249833023587,0.045620826934544,227.938899011515,-86.9689940577804,NA,NA,8.02910079846872,7.44149994850159,45.4859121285613,53.1494278865559,7.83899998664856,NA,35.45,NA,NA,-1.376795,-1.17342,-0.36223275,-1.02134145,-1.19302,29.65,NA,NA,1.9,135.085,54.5,NA,34.4952449798584,62.3665,1246700,"UM",17.4705725523135,-12.2458690361332
"Argentina",6.55853713598566,11.2925208060498,4.73398367006411,6.53717601218446,11.2673074895926,4.73013147740814,-0.021361123801193,-0.0252133164571635,-0.00385219265597136,2.27,0.105405268712792,1715.65651417327,20.7459963176351,0.165655745129814,588.220699397823,256.371458033052,29.65,0.3,NA,7.18400001525879,94.1843026853142,98.9653310523914,8.44649982452393,6.63519,36.6,6.412125,0.565065,-0.48695105,-0.2183421,0.0300962,-1.015759,-0.7968553,3.45,3.9066,98.32,0.4,0,94,4.95,99.8981857299805,91.313,2780400,"UM",-65.1753607711417,-35.4468214894951
"Armenia",5.6462620625543,10.0594942881699,4.41323222561562,5.59695761892442,9.93073728767904,4.33377966875462,-0.0493044436298744,-0.128757000490882,-0.0794525568610078,1.61,0.105482794692969,7637.7788772646,569.425099441172,0.0805745447443592,1633.37549718502,719.992568504098,25.2,0.45,4.38548823739164,16.8385000228882,92.4202602585817,99.4274461972367,18.80299949646,7.03545,10.7,6.87153,NA,-0.5279728,-0.0645197,-0.09337535,0.23301575,-0.35505885,4.15,2.9031,100,0.2,NA,94,4.1,99.9715156555175,63.138,29740,"LM",45.0002900110148,40.2166076123014
"Australia",2.36501092792852,4.04148084717254,1.67646991924402,2.32044766026192,3.96810127243083,1.64765361216891,-0.044563267666601,-0.0733795747417068,-0.0288163070751062,1.88,0.147726097668401,49361.6536144956,863.995144450581,0.164511449996445,16256.490694823,-4152.16476362121,27.8,0.5,2.46890567336971,5.87050008773804,99.9911523822512,99.9539660171694,5.8914999961853,NA,26,NA,0.190975,1.8193855,1.623492,1.0316325,1.832288,1.850872,2.5,3.4251,99.5,0.1,NA,91.5,3.8,100,85.552,7741220,"H",134.502775475366,-25.7306547797261
"Austria",2.18010719661572,3.54948842852488,1.36938123190916,2.19632040528597,3.58845756108505,1.39213715579908,0.0162132086702567,0.0389691325601778,0.0227559238899206,1.465,0.183337720692201,43418.5981053,858.082271764268,0.144159264349591,20275.8104458284,2798.76036475427,24.1,0.1,1.80298152853474,5.47749996185303,99.9795233022193,100.000002837059,5.3380000591278,7.654335,32.75,7.7735,3.26444,1.512765,1.5805315,1.3174005,1.4892045,1.901923,2.5,4.9635,98.5,NA,NA,96.5,7.6,100,57.431,83879.00390625,"H",14.0761588843371,47.6139487927463
"Azerbaijan",20.7454046683943,36.6346428124015,15.8892381440072,20.310029949331,35.7930934250158,15.4830634756848,-0.435374719063301,-0.841549387385726,-0.406174668322423,2.04,0.0532078550998909,8289.51439948235,340.285782476384,0.0334311777742984,2532.39347453712,-963.5507675075,NA,NA,1.9042981210306,4.93999981880188,90.1133624842732,89.0084076412684,5.89250016212463,NA,15.8,NA,12.67147,-0.9927622,-0.419427,-0.4863847,-0.34272695,-0.69804835,2.5,3.4512,99.9,NA,0,93.5,4.7,100,54.2835,86600,"UM",47.5539095580061,40.2206905476617
"Bangladesh",26.5404317149892,43.0339580953164,16.4935263803273,25.4111108385603,40.6358092640584,15.2246984254981,-1.12932087642884,-2.39814883125803,-1.26882795482918,2.14,0.0540146988856278,1642.89193151205,28.4359476281865,0.0582538704629615,182.877854064938,104.295797184295,NA,NA,7.26102265067012,4.41849994659424,43.8154270262025,96.7224127481639,7.53550004959106,4.22478,19.75,4.06192,NA,-0.88700445,-0.77978755,-1.2617111,-0.92617925,-0.8222411,16.4,0.4413,42.8,0.1,2.315,96.5,0.6,61.95,33.1485,148045,"LM",90.267928277196,23.8394617953441
"Belarus",3.65707838837602,6.86085561564959,3.20377722727357,3.60341136369294,6.7871410166491,3.18372965295616,-0.0536670246830866,-0.0737145990004962,-0.02004757431741,1.63,0.137444828805744,14768.9404943496,280.904779550706,0.0831425304019575,5505.51732450052,-2163.33903878967,22.35,0,18.2159076952303,5.91400003433228,97.4543552507835,96.592249864246,4.37100005149841,7.19382,26.6,7.25552,0.056015,-0.38807805,-0.6914922,0.0928707,-1.038383,-0.87061225,2.5,4.00515,99.8,0.35,NA,97.5,11,100,76.446,207600,"UM",27.981352615448,53.5063447948111
"Belgium",2.0994133095555,3.91322521874753,1.81381190919203,1.99838194312972,3.74801876875534,1.74963682562563,-0.101031366425786,-0.165206449992191,-0.0641750835664063,1.735,0.177660421334896,40615.4538058453,724.463267732908,0.15039109242287,20725.7390381001,7284.97633497381,22.1,0.05,0.726549386816167,8.47399997711181,99.4860658008799,100.000001093002,8.05500006675721,9.814085,38.65,9.29961,0.73269,1.623587,1.4944665,0.82067605,1.2246095,1.480937,2.5,2.96605,NA,NA,NA,99,6.25,100,97.811,30530,"H",4.58083411385493,50.652440959023
